,Predictions
2021-11-01 00:00:00,25917.523
2021-11-01 00:20:00,20025.107
2021-11-01 00:40:00,24400.164
2021-11-01 01:00:00,20213.43
2021-11-01 01:20:00,15381.781
2021-11-01 01:40:00,22819.629
2021-11-01 02:00:00,21728.74
2021-11-01 02:20:00,25022.387
2021-11-01 02:40:00,22777.29
2021-11-01 03:00:00,23840.021
2021-11-01 03:20:00,21385.67
2021-11-01 03:40:00,24671.535
2021-11-01 04:00:00,18896.803
2021-11-01 04:20:00,21532.678
2021-11-01 04:40:00,24654.121
2021-11-01 05:00:00,26888.143
2021-11-01 05:20:00,24322.85
2021-11-01 05:40:00,23532.537
2021-11-01 06:00:00,24676.309
2021-11-01 06:20:00,22810.143
2021-11-01 06:40:00,19761.252
2021-11-01 07:00:00,24969.86
2021-11-01 07:20:00,15115.752
2021-11-01 07:40:00,25490.072
2021-11-01 08:00:00,26416.307
2021-11-01 08:20:00,26950.445
2021-11-01 08:40:00,25846.21
2021-11-01 09:00:00,26448.807
2021-11-01 09:20:00,23668.113
2021-11-01 09:40:00,15680.128
2021-11-01 10:00:00,24029.13
2021-11-01 10:20:00,25280.744
2021-11-01 10:40:00,24951.844
2021-11-01 11:00:00,22505.564
2021-11-01 11:20:00,17367.084
2021-11-01 11:40:00,15677.452
2021-11-01 12:00:00,15403.998
2021-11-01 12:20:00,25028.408
2021-11-01 12:40:00,20938.906
2021-11-01 13:00:00,24046.191
2021-11-01 13:20:00,24352.246
2021-11-01 13:40:00,23441.982
2021-11-01 14:00:00,15070.683
2021-11-01 14:20:00,26098.82
2021-11-01 14:40:00,22964.412
2021-11-01 15:00:00,19073.025
2021-11-01 15:20:00,22606.098
2021-11-01 15:40:00,21282.918
2021-11-01 16:00:00,23162.305
2021-11-01 16:20:00,25037.936
2021-11-01 16:40:00,26769.53
2021-11-01 17:00:00,20376.39
2021-11-01 17:20:00,18993.346
2021-11-01 17:40:00,20101.71
2021-11-01 18:00:00,25691.342
2021-11-01 18:20:00,21014.48
2021-11-01 18:40:00,15689.59
2021-11-01 19:00:00,24600.77
2021-11-01 19:20:00,18382.338
2021-11-01 19:40:00,18391.701
2021-11-01 20:00:00,25672.951
2021-11-01 20:20:00,18890.72
2021-11-01 20:40:00,25401.018
2021-11-01 21:00:00,15679.158
2021-11-01 21:20:00,23648.322
2021-11-01 21:40:00,20589.0
2021-11-01 22:00:00,21722.678
2021-11-01 22:20:00,26271.988
2021-11-01 22:40:00,24949.104
2021-11-01 23:00:00,18249.984
2021-11-01 23:20:00,22840.537
2021-11-01 23:40:00,24314.85
2021-11-02 00:00:00,21624.44
2021-11-02 00:20:00,19050.3
2021-11-02 00:40:00,22591.936
2021-11-02 01:00:00,25693.523
2021-11-02 01:20:00,24364.25
2021-11-02 01:40:00,22847.658
2021-11-02 02:00:00,25675.387
2021-11-02 02:20:00,19408.012
2021-11-02 02:40:00,25679.158
2021-11-02 03:00:00,24228.982
2021-11-02 03:20:00,22822.643
2021-11-02 03:40:00,22836.92
2021-11-02 04:00:00,19031.926
2021-11-02 04:20:00,24043.53
2021-11-02 04:40:00,18539.627
2021-11-02 05:00:00,19035.186
2021-11-02 05:20:00,25861.414
2021-11-02 05:40:00,16308.054
2021-11-02 06:00:00,19093.62
2021-11-02 06:20:00,23833.676
2021-11-02 06:40:00,19022.72
2021-11-02 07:00:00,17865.621
2021-11-02 07:20:00,19838.395
2021-11-02 07:40:00,15994.1
2021-11-02 08:00:00,24014.03
2021-11-02 08:20:00,19626.682
2021-11-02 08:40:00,14542.717
2021-11-02 09:00:00,23295.191
2021-11-02 09:20:00,23325.357
2021-11-02 09:40:00,23644.445
2021-11-02 10:00:00,20795.549
2021-11-02 10:20:00,23536.379
2021-11-02 10:40:00,24969.656
2021-11-02 11:00:00,22587.074
2021-11-02 11:20:00,20635.658
2021-11-02 11:40:00,20947.346
2021-11-02 12:00:00,25859.697
2021-11-02 12:20:00,24301.385
2021-11-02 12:40:00,15679.897
2021-11-02 13:00:00,22387.688
2021-11-02 13:20:00,15682.491
2021-11-02 13:40:00,20945.707
2021-11-02 14:00:00,23143.62
2021-11-02 14:20:00,24133.656
2021-11-02 14:40:00,15641.995
2021-11-02 15:00:00,23144.68
2021-11-02 15:20:00,26603.768
2021-11-02 15:40:00,21859.93
2021-11-02 16:00:00,25912.188
2021-11-02 16:20:00,18344.938
2021-11-02 16:40:00,18702.34
2021-11-02 17:00:00,21403.592
2021-11-02 17:20:00,20951.295
2021-11-02 17:40:00,18397.361
2021-11-02 18:00:00,23834.176
2021-11-02 18:20:00,25310.314
2021-11-02 18:40:00,15684.363
2021-11-02 19:00:00,25858.156
2021-11-02 19:20:00,24359.904
2021-11-02 19:40:00,26423.56
2021-11-02 20:00:00,18229.225
2021-11-02 20:20:00,16274.486
2021-11-02 20:40:00,17983.09
2021-11-02 21:00:00,26562.463
2021-11-02 21:20:00,17965.695
2021-11-02 21:40:00,20226.262
2021-11-02 22:00:00,18505.117
2021-11-02 22:20:00,18706.367
2021-11-02 22:40:00,15349.203
2021-11-02 23:00:00,22516.438
2021-11-02 23:20:00,15040.251
2021-11-02 23:40:00,16926.646
2021-11-03 00:00:00,15121.958
2021-11-03 00:20:00,21853.123
2021-11-03 00:40:00,23320.234
